0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.31, -0.30, 0.90, 2.09, 0.25, 154.30

-0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.31, -0.30, 0.90, 2.18, 0.28, 154.38

0.00, 0.00, -0.00, -0.01, 0.02, 1.00, -0.28, -0.32, 0.91, 2.18, -0.10, 154.26

-0.00, 0.00, -0.00, -0.03, 0.01, 1.00, -0.28, -0.32, 0.91, 2.02, 0.03, 154.17

-0.00, 0.00, 0.01, -0.02, 0.01, 1.00, -0.31, -0.32, 0.89, 1.77, 0.22, 154.19

-0.00, 0.00, 0.00, -0.01, 0.01, 1.00, -0.31, -0.32, 0.89, 1.63, 0.22, 154.21

0.00, 0.00, 0.00, -0.01, 0.01, 1.00, -0.31, -0.32, 0.89, 1.57, 0.20, 154.23

-0.00, -0.00, 0.00, -0.02, 0.01, 1.00, -0.31, -0.31, 0.90, 1.67, 0.29, 154.29

-0.00, -0.00, -0.00, -0.02, 0.01, 1.00, -0.31, -0.31, 0.90, 1.62, 0.35, 154.33

-0.00, -0.00, -0.00, -0.02, 0.01, 1.00, -0.31, -0.31, 0.90, 1.70, 0.31, 154.37

0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.31, -0.33, 0.89, 1.50, 0.33, 154.35

-0.00, -0.00, 0.00, -0.02, 0.01, 1.00, -0.31, -0.33, 0.89, 1.51, 0.44, 154.34

0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.30, -0.31, 0.90, 1.68, 0.35, 154.38

0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.30, -0.31, 0.90, 1.78, 0.31, 154.41

0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.30, -0.31, 0.90, 1.83, 0.18, 154.45

-0.00, -0.00, -0.01, -0.02, 0.01, 1.00, -0.31, -0.33, 0.89, 1.45, 0.29, 154.43

-0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.31, -0.33, 0.89, 1.46, 0.42, 154.42

